time,L1_J1,L1_J2,L1_J3,L4_J1,L4_J2,L4_J3
0.006560564041137695,0.6212863058559501,-3.6570286443551487,-2.376243642631392,-3.2499509156694146,-7.0,-5.42624041817141
0.013511180877685547,0.6125461641667311,-3.6063862129907673,-2.343475225616884,-3.2674335942480828,-7.0,-5.427997669087979
0.021184444427490234,0.6029046896661854,-3.5505687993478174,-2.3073578800989503,-3.2867021695572394,-7.0,-5.42989856218306
0.03147315979003906,0.5656347809463995,-3.240695650215823,-2.108399337163704,-3.239638222014918,-7.0,-4.988400879334449
0.039214372634887695,0.4943013024977092,-2.765875613570719,-1.8030339471240167,-3.1432097745407592,-7.0,-4.6818249828625245
0.04669022560119629,0.43784201318467986,-2.7037098721607093,-1.7617313545955477,-3.0808609356706755,-7.0,-4.5851835848097275
0.05369973182678223,0.4022480454460503,-2.5067317714731,-1.6344755197318,-3.036059515275573,-7.0,-4.710650227781452
0.061033010482788086,0.3789592240197862,-2.387650316011205,-1.5572474956849052,-3.011812704493299,-7.0,-4.717561960839158
0.06952095031738281,0.36233520215307974,-2.337407160840628,-1.5238515405403579,-2.9741850179443228,-7.0,-4.712389066127198
0.07613825798034668,0.35387962041221793,-2.289875872091489,-1.4931634501036473,-2.9907363734820276,-7.0,-4.713835352695519
0.08435249328613281,0.3398344994796925,-2.245628612592856,-1.4631719903097546,-3.0523495428575167,-6.936914310414981,-4.397381746413153
0.09145355224609375,0.3235580506871113,-2.1136482436589166,-1.3777021045052715,-3.0365136625011635,-7.0,-4.497694723604857
0.09999275207519531,0.30660649130544965,-2.0106104510785427,-1.3105873912150539,-3.0309610998943293,-7.0,-4.492974552132658
0.10752534866333008,0.2903175972207589,-1.9313572513986186,-1.2588043284306685,-3.0333181132594005,-6.94308377337836,-4.399159173027781
0.11487030982971191,0.27771921348024575,-1.8868608743172341,-1.2293159040761081,-3.0485159314066417,-6.6913619497219585,-4.238233178538888
0.12255144119262695,0.2614163290960674,-1.7822611692787225,-1.1614588372468364,-3.0367518147017867,-6.94151352282778,-4.397490534147149
0.13029026985168457,0.2474656081025817,-1.7484158108940449,-1.138664707259125,-3.039530277104524,-6.629804605595235,-4.1985943027898465
0.1371762752532959,0.23717024352180305,-1.684275648120327,-1.0968960909919936,-3.045548277944175,-6.596418881891076,-4.177290321032462
0.1445474624633789,0.21360270186958227,-1.5886436683329297,-1.0349466104823954,-3.0346432630238396,-6.849519656429373,-4.338712062580549
0.15190649032592773,0.20516793574181635,-1.522079051155795,-0.9915831925397864,-3.0432211135774385,-6.604185908688699,-4.182519984858979
0.1588726043701172,0.1911534298751631,-1.4643737529493834,-0.9538555041285285,-3.045178775539469,-6.526077004817951,-4.133163994231109
0.1654493808746338,0.17806704492160214,-1.4229811640873196,-0.9267574831660186,-3.044453509716055,-6.462283946832686,-4.092874366954783
0.17273950576782227,0.15473041331072548,-1.3465113667159738,-0.8772242337283603,-3.0143549287452265,-6.61123715631245,-4.188242980983513
0.17997407913208008,0.1497823658401773,-1.2956383215326812,-0.8440716711003688,-3.0536585969575265,-6.448637277116292,-4.08529863251661
0.18700671195983887,0.14411835250500554,-1.2416724641274361,-0.809023493657721,-3.0672909398245674,-6.273790453219892,-3.974731050010992
0.1934525966644287,0.1311409753239837,-1.1286356230831878,-0.736357867789323,-3.0484617340571174,-6.595496693196572,-4.180486199894408
0.20107674598693848,0.11752487050669977,-1.1315569387551059,-0.7376902846651642,-3.0692357069315466,-6.161374308384488,-3.90479131278087
0.20811867713928223,0.10867548342726818,-1.0155665669205416,-0.663213958133313,-3.0456898725588983,-6.516915772132151,-4.1322396773727075
0.21688485145568848,0.08505749604134724,-1.0074415993532841,-0.6575256446411698,-3.0650902461893006,-6.373946955123077,-4.04226148927512
0.2243192195892334,0.07708822531583767,-0.9386205543417591,-0.613224917370066,-3.0391618829522757,-6.3356221387045615,-4.019427114554695
0.23101568222045898,0.07592807478846299,-0.9189189884019671,-0.6004462528757291,-3.045377636815249,-6.144568217178541,-3.898594420180271
