time,t1,t2,t3,t4,t5,t6
0.001104593276977539,1.824328193813888,7.915815703718352,3.675987363676409,6.336184781978278,2.506533784021652,7.793169182841511
0.008887529373168945,1.8573685154790884,7.920582466957843,3.657327076518238,6.342553046103385,2.469306657133981,7.787058383465111
0.01602935791015625,1.6693309294163843,7.556552853124674,3.380492717885974,6.092355404746275,2.2679614773144454,6.624556269937553
0.023434162139892578,1.5774342120893732,7.51782251712927,3.3793949040699207,5.656552711010939,1.905430247782685,6.479835167831981
0.03096461296081543,1.5887471202903056,7.334322564661251,3.4123182664195135,5.454646115239689,1.7358760152485624,7.7269779938289265
0.0381312370300293,1.6419477545954506,7.64755107747348,3.4143066240753317,5.407773024970868,1.6315605948917802,6.609404095582853
0.04563188552856445,1.6688460328115866,7.33426525554557,3.3941371888448306,5.366425044873239,1.5558478111909975,6.363764568661104
0.05567431449890137,1.6949525791865248,7.200820174870763,3.382529809740454,5.312346853349746,1.4506969904454299,7.680277445203911
0.06332230567932129,1.7219584460824884,7.590211760952938,3.3530394491349735,5.314593724726524,1.4207608203238755,6.577477581223421
0.07599210739135742,1.7690163649262745,7.551688774868608,3.326122037477102,5.304582479558358,1.3533494040446135,7.6813623657339
0.08319568634033203,1.798313528972716,7.55618793565381,3.308648801719184,5.310819835831018,1.3202395333381916,7.676188861842518
0.0908055305480957,1.7845534948467734,7.306687621285862,3.3081926506925603,5.210720065751316,1.2346503437681675,6.509259108364361
0.09816956520080566,1.7922264353895605,7.559708584138386,3.293544981869668,5.225249618784286,1.1541751898299617,7.638973837534442
0.10605812072753906,1.8117332544256946,7.560807355263606,3.2761351403056542,5.22059721409998,1.1064567283205302,7.6287793537303665
0.11541318893432617,1.8367809566453341,7.217280085268534,3.2450990627835745,5.2301133543241445,1.0772151143373483,7.601807745595572
0.1232750415802002,1.859565701087766,7.528790421051867,3.2402023693426525,5.2061573436389885,1.0180920686515327,6.295555131548863
0.13066768646240234,1.885726756117412,7.30702356939484,3.225876447190342,5.064277594878804,0.9492300581350739,7.606926940573924
0.13765430450439453,1.9038917531017525,7.513604367142377,3.210946474743243,5.121507969288087,0.9035659576719457,7.581360850679598
0.1450939178466797,1.9183718410855444,7.278736832752542,3.2018729981858476,5.110103696617124,0.8689017496568225,6.285958712971684
0.15284109115600586,1.93188322209174,7.276375935151847,3.1927705773634174,5.076183559995588,0.8033168313435259,6.275791927515079
0.16051888465881348,1.95608501064825,7.289599463895854,3.180123705484954,5.03922924666186,0.7596574305733348,6.500649198768506
0.16791844367980957,1.9729663367409103,7.186156907612388,3.145945068343959,5.067911349123547,0.7581901971963303,7.579190586037543
0.17499470710754395,1.9960698503896372,7.507549326465734,3.137634605708274,5.060643641746209,0.7293659882824867,6.48887780213578
0.18250560760498047,2.0080328399357,7.525377375243393,3.126675864199289,5.00939881140964,0.6600407973480849,6.291965639337226
0.18961095809936523,2.0172293079195613,7.218101950221641,3.118098673198294,4.975148556093904,0.6066705975550613,6.4612294858344494
0.19928717613220215,2.05578556616249,7.500124456440171,3.0887924465615506,5.005805110702006,0.5960036634506622,7.5832101455839105
0.2068016529083252,2.0720228390063067,7.518942197286355,3.0693696558161085,4.990187342466925,0.5621981734574647,7.590628337090118
0.21678376197814941,2.0913380613713834,7.516537581670196,3.060329103915354,4.947460962161474,0.48940261491987924,7.601165311293656
0.2267296314239502,2.1104954309140482,7.520119919562645,3.0538762456285715,4.891257400596289,0.3995965644310052,7.579434959512615
