time,roll,pitch,target_z,actual_z,torque_leg1
0.0008301734924316406,-0.006998787344728239,0.0051771851591140405,-0.059895677795267714,-0.05962244894551549,-3.921499998330259
0.012879133224487305,-0.006998787344728239,0.0051771851591140405,-0.05838332616492567,-0.05811009731517344,-3.8473947684434986
0.025036096572875977,-0.006998787344728239,0.0051771851591140405,-0.05686683059662094,-0.05659360174686871,-3.773086485596567
0.0376582145690918,-0.006998787344728239,0.0051771851591140405,-0.0553117625404177,-0.05503853369066547,-3.6968881508426086
0.049978017807006836,-0.006998787344728239,0.0051771851591140405,-0.0538222873355738,-0.053549058485821574,-3.623903865805257
0.06188321113586426,-0.006998787344728239,0.0051771851591140405,-0.05241799667883481,-0.05214476782908258,-3.5550936236250466
0.07472658157348633,-0.006998787344728239,0.0051771851591140405,-0.05095081727955982,-0.050677588429807595,-3.4832018330605723
0.08756542205810547,-0.006998787344728239,0.0051771851591140405,-0.04954301988193709,-0.049269791032184866,-3.414219760577059
0.09874129295349121,-0.006998787344728239,0.0051771851591140405,-0.048372626548609,-0.04809939769885677,-3.3568704872439823
0.11044716835021973,-0.006998787344728239,0.0051771851591140405,-0.047208273259428876,-0.04693504440967665,-3.299817176074156
0.12235426902770996,-0.006998787344728239,0.0051771851591140405,-0.04609490101546302,-0.04582167216571079,-3.245261936119829
0.13637566566467285,-0.006998787344728239,0.0051771851591140405,-0.044884018638119826,-0.0446107897883676,-3.1859286996300127
0.1498429775238037,-0.006998787344728239,0.0051771851591140405,-0.04383126617950679,-0.043558037329754565,-3.134343829157974
0.16337990760803223,-0.006998787344728239,0.0051771851591140405,-0.04288968367473548,-0.04261645482498325,-3.0882062864241795
0.1768512725830078,-0.006998787344728239,0.0051771851591140405,-0.042075462084313675,-0.04180223323456145,-3.048309428493511
0.18987393379211426,-0.006998787344728239,0.0051771851591140405,-0.04141030792482886,-0.04113707907507663,-3.0157168746787555
0.20225238800048828,-0.006998787344728239,0.0051771851591140405,-0.04089331214736998,-0.04062008329761775,-2.9903840815832696
0.21472477912902832,-0.006998787344728239,0.0051771851591140405,-0.04048923848473206,-0.04021600963497983,-2.9705844721140116
0.22765159606933594,-0.006998787344728239,0.0051771851591140405,-0.040196851642314985,-0.03992362279256276,-2.956257516835575
0.24026942253112793,-0.006998787344728239,0.0051771851591140405,-0.04003736815706216,-0.03976413930730993,-2.948442826058187
0.25220346450805664,-0.006998787344728239,0.0051771851591140405,-0.04000191674755879,-0.039728687897806564,-2.946705706992522
0.26463842391967773,-0.006998787344728239,0.0051771851591140405,-0.04008453609701647,-0.03981130724726424,-2.950754055115948
0.2774991989135742,-0.006998787344728239,0.0051771851591140405,-0.040297796169483244,-0.040024567319731016,-2.96120379866682
0.290391206741333,-0.006998787344728239,0.0051771851591140405,-0.04064062100221823,-0.040367392152466,-2.978002215470834
0.30315399169921875,-0.006998787344728239,0.0051771851591140405,-0.04110507300786696,-0.040831844158114736,-3.0007603637476223
0.31545114517211914,-0.006998787344728239,0.0051771851591140405,-0.041667496535116616,-0.04139426768536439,-3.028319116582855
0.32782530784606934,-0.006998787344728239,0.0051771851591140405,-0.04234385299212444,-0.04207062414237221,-3.0614605829762387
0.33983397483825684,-0.006998787344728239,0.0051771851591140405,-0.04310227154486723,-0.042829042695115005,-3.0986230920606355
0.3540971279144287,-0.006998787344728239,0.0051771851591140405,-0.044127615048762475,-0.04385438619901025,-3.148864923751502
0.36669206619262695,-0.006998787344728239,0.0051771851591140405,-0.04513923940982434,-0.04486601056007211,-3.1984345174435336
0.37895655632019043,-0.006998787344728239,0.0051771851591140405,-0.04621376825140846,-0.04594053940165623,-3.2510864306811555
0.39130473136901855,-0.006998787344728239,0.0051771851591140405,-0.04737827850080332,-0.04710504965105109,-3.3081474329015035
0.4035208225250244,-0.006998787344728239,0.0051771851591140405,-0.04860508331905802,-0.048331854469305796,-3.368260868995984
0.4156661033630371,-0.006998787344728239,0.0051771851591140405,-0.04989130906611182,-0.04961808021635959,-3.43128593060162
0.42780518531799316,-0.006998787344728239,0.0051771851591140405,-0.05123567276050942,-0.050962443910757195,-3.4971597516271027
0.4407169818878174,-0.006998787344728239,0.0051771851591140405,-0.05272135493234573,-0.052448126082593506,-3.569958178047082
0.45273494720458984,-0.006998787344728239,0.0051771851591140405,-0.054147419047448735,-0.05387419019769651,-3.6398353196871294
0.46533799171447754,-0.006998787344728239,0.0051771851591140405,-0.05567859537615964,-0.055405366526407415,-3.7148629597939635
0.47768545150756836,-0.006998787344728239,0.0051771851591140405,-0.057205049298961766,-0.05693182044920954,-3.7896592020112676
