time,L1_x,L1_y,L1_z,L4_x,L4_y,L4_z
0.0015802383422851562,0.26,0.0,0.0,0.26,0.0,0.0
0.012414932250976562,0.2506189203805546,8.656548364712187e-05,0.06230450910580376,0.25686684166110024,0.0009475081857695585,0.035745305658920305
0.0206298828125,0.2507269362923113,0.00011086613864491901,0.061930235033624215,0.2570124726706544,0.0006266804601554579,0.03479886799292484
0.029623985290527344,0.25126637055363,0.0005293708506985727,0.060062235301541166,0.25725145446762765,-0.0005061744527251789,0.03342223537516394
0.03922390937805176,0.25167092159053106,0.0007976351551901915,0.0586238082587033,0.2574107830523221,-0.0015277539344578477,0.032427762668465754
0.04731583595275879,0.2521022961463969,0.001175591291157258,0.05703944844571085,0.2575664362218177,-0.0026408146061830257,0.03142647868842912
0.055525779724121094,0.25247481578677616,0.0015948652838923666,0.05563179774107509,0.2576889622301018,-0.00346668646219266,0.03060487327754439
0.06529545783996582,0.2528577175039396,0.002144813893667558,0.0541378905505186,0.25782671694589543,-0.0043467993844606995,0.029632737160649503
0.07440733909606934,0.2532220532237582,0.002687533946083212,0.0526724204975259,0.2579528634385349,-0.00521757375811838,0.028683301514429195
0.08159041404724121,0.2535320975096329,0.0031716703720800635,0.05139165680546541,0.25805666577597014,-0.005967924122443718,0.027852743696801102
0.08922767639160156,0.2537091372334726,0.003436045410048954,0.05064599719322525,0.258109387671773,-0.00638714776343494,0.02740767592403709
0.09755849838256836,0.25399571203254573,0.003890036935820955,0.049408108562347286,0.2581943557898927,-0.007104745076026377,0.026655835014650166
0.10571861267089844,0.25431632251659614,0.004424128082326475,0.04798042759094705,0.25828776605333853,-0.007854902006401546,0.02579534827061991
0.11322975158691406,0.25456323841037015,0.004815840472508553,0.04685099499042867,0.25835330643981774,-0.008383007281553466,0.025162092439145578
0.12179398536682129,0.25478454477774465,0.0052044761201090325,0.04580609407780899,0.2584345265029162,-0.008893191081960159,0.02437249917611689
0.12935829162597656,0.25500117517697696,0.005590306366415046,0.04476140863122379,0.2585029450232374,-0.009394906328424856,0.023656118838104197
0.13651680946350098,0.25527138967620855,0.006104845087443269,0.04342116457401224,0.2585764761272776,-0.010064742879790473,0.022804663097950102
0.1441364288330078,0.2554623851428325,0.006500621058611087,0.042443348699998384,0.25864174961148567,-0.010559442578301497,0.022037487523837437
0.1517164707183838,0.25570885279177547,0.007004602876318778,0.041142560923860705,0.25871096945192523,-0.011200641620760643,0.021136607211436863
0.1590125560760498,0.25591921070556106,0.007423708702739919,0.03999676412323097,0.2587618694560283,-0.011747738751302327,0.02040621735879839
0.1664135456085205,0.25612238580910035,0.007846917680820053,0.03885519184828226,0.25882044197365306,-0.012285491066229615,0.01955153030768024
0.1744682788848877,0.256263513404442,0.008157556294920019,0.038042186637099615,0.25884933841141533,-0.01266847513383021,0.019048026627139426
0.18234801292419434,0.25644942311911956,0.008604278582265125,0.0369370131907623,0.25889827901540985,-0.013215985525821407,0.018198762141356288
0.18920326232910156,0.2566008453422592,0.008999061611326624,0.03600563402148108,0.2589281470500203,-0.013686262484105842,0.017566647679534624
0.1962881088256836,0.2567745819068045,0.009452470766254082,0.03490339707833019,0.25896592126026297,-0.014222890521028271,0.01675131063957616
0.20353126525878906,0.2569293767061492,0.009908212794020916,0.03387713232182064,0.2589994526498054,-0.014743042686830339,0.015941319243498436
0.2133934497833252,0.257062810576289,0.01028400907603745,0.03296991948401935,0.25902930181984635,-0.01516058032152369,0.015202227849814155
0.22378873825073242,0.25725466367178473,0.010819705189512275,0.03161423351064823,0.25906218415148957,-0.015754632239026817,0.014202140821725174
0.232069730758667,0.25742150224933613,0.01124738671074373,0.03038078080985355,0.25907908722817463,-0.01627698324691519,0.013426600412552808
0.2399272918701172,0.2575760450359599,0.011679128903971544,0.02917468687612358,0.2590974871743376,-0.016748120272223516,0.012602202436165506
0.2475137710571289,0.25770644810007903,0.01200093054365758,0.02810852857628548,0.25910513839997695,-0.017172920603963887,0.01194460142060353
0.25510144233703613,0.257821366101756,0.012343405860095346,0.027122071319787597,0.259111302153048,-0.017565142895488797,0.01129556543019498
0.2633171081542969,0.2579281731476249,0.012651509508807978,0.026168077516466805,0.25911209472650987,-0.01800441253054524,0.010619300972887404
0.2702615261077881,0.2580127713446546,0.012897926436026356,0.02538399926550958,0.2591055406221261,-0.018401116588324537,0.010107758648772853
0.27849817276000977,0.2581051695410273,0.01317622364847066,0.024495245641253736,0.25909297175401724,-0.018880809458079087,0.009530860209584609
0.2881777286529541,0.25820115732949883,0.013496724992432051,0.02351839779020066,0.2590774723767455,-0.019443180612509547,0.008764348994549752
0.29686450958251953,0.2582681541713832,0.013732353339857705,0.022809114926987666,0.25906046871649596,-0.019858390531144385,0.008276893620074886
0.3045332431793213,0.2583300618110998,0.013962280105111899,0.02212812698784851,0.25904359903870394,-0.020268897030760243,0.00773053503488315
0.3147587776184082,0.2584086987644722,0.014255862801681679,0.021222313656636356,0.2590168244279063,-0.020816904564099792,0.007002025875662496
0.32262444496154785,0.2584826897739988,0.014530290928020632,0.02031149881185821,0.258986062443464,-0.021349536452641676,0.0063192565890424655
0.33099889755249023,0.2585455275349999,0.014736137349016423,0.019499164489720056,0.2589578056104073,-0.021799115465654505,0.005692433939545546
0.33799076080322266,0.25860221979974024,0.014924636387455946,0.018730759018303306,0.2589272617640316,-0.022257272472332675,0.004986976030119306
0.34540629386901855,0.2586500018514641,0.015067131904202155,0.0180610631278492,0.25889901965496037,-0.02264553187071794,0.004400703342889244
0.35231995582580566,0.2586960691407949,0.015263917808958968,0.017341457362165913,0.2588629160843699,-0.023097741323867556,0.003717520682449832
0.3590118885040283,0.25873282747948634,0.015424208417484899,0.01674670003676287,0.25883065641222563,-0.023463731716216678,0.003170027012730579
0.3659329414367676,0.25878000010770863,0.01556986872301436,0.015981269080417082,0.2587916008624067,-0.023879052155695323,0.00256156175953955
0.3732607364654541,0.25882218428607556,0.015692231028356592,0.015266008629755254,0.2587568111833453,-0.024226828388424052,0.0020571734640429822
0.3804335594177246,0.2588612913126831,0.015866452327905643,0.01450782340239165,0.2587100686233921,-0.02466246607004183,0.0013496391928522178
0.3880016803741455,0.25888688802633364,0.01603638235618645,0.013920565003538516,0.2586686034828441,-0.02503168148718491,0.0007631998194847856
0.39509105682373047,0.258912420718547,0.016212640001963586,0.013321276199067365,0.2586192985297967,-0.025445065814198104,3.764046960914175e-05
0.4019019603729248,0.25893720316520163,0.01635693956236571,0.012699983876532641,0.25857697355633547,-0.025787266786166992,-0.0005096383734792573
0.40892601013183594,0.2589601533490577,0.01653505343910218,0.012031033293643035,0.2585211753023904,-0.026208113462586426,-0.0012076386659909811
0.4167912006378174,0.2589729310795748,0.016758288221409057,0.01153045906514741,0.2584615870181111,-0.026641901589290782,-0.0018240163824368594
0.427243709564209,0.2589969878309926,0.017017348928650502,0.010578163936120074,0.2583741975959598,-0.027227277534627756,-0.0027460238561902955
0.4354405403137207,0.2590110222008568,0.017198542608849614,0.009982090640446029,0.2582958482266836,-0.027689256260204912,-0.003626082510909904
0.44326043128967285,0.2590170162403093,0.017410916467373173,0.009455878472865588,0.25822911943500026,-0.028102100361302604,-0.004210895342829344
0.45136332511901855,0.25902486887507303,0.01757359390894382,0.008931147264906812,0.25816011139815753,-0.028490763187730694,-0.004859121837894595
0.4588954448699951,0.25903642796640636,0.017692296628426078,0.008305690965358386,0.2580879863204232,-0.028870897905673237,-0.005518957729899118
0.46624302864074707,0.2590372515994409,0.01789398809082071,0.00784221900275426,0.2579977345805589,-0.02933133512775802,-0.006312555046445507
0.4731326103210449,0.25903812166784007,0.01802063845778405,0.007476707894375326,0.2579303947389437,-0.029657913818091353,-0.006899414560406694
0.4807894229888916,0.25904416712010936,0.018118645678537607,0.006987465585778722,0.2578487336942793,-0.030032555598206778,-0.007609321697460173
0.48912811279296875,0.25904525776226806,0.01828433679501381,0.006485007815003836,0.2577473283984514,-0.03049040737258156,-0.008421387775042153
0.4970588684082031,0.25904134624908415,0.018472194141458096,0.006052415109682708,0.25764307839727246,-0.030948349510985313,-0.009210141761543915
0.5040287971496582,0.2590393407661146,0.018608857276655358,0.005613707498356083,0.25755027556509147,-0.031339698887202276,-0.009869837571740122
0.5109677314758301,0.25904096347221084,0.018686469642455347,0.005159843553362495,0.2574762319530022,-0.03165438340581574,-0.010363035257379414
0.5183837413787842,0.25903993685203985,0.01878171543592953,0.0048227517944982685,0.2573873199856958,-0.031964807980001966,-0.01103008272715811
0.5257017612457275,0.2590357076541937,0.018888182517336698,0.0045672346138713555,0.2573161987899578,-0.03221310798760413,-0.011528321151922722
0.5332436561584473,0.25903183198415863,0.01899809832863703,0.0042404252165745004,0.25721983976907276,-0.032545406061947627,-0.012180971083821306
0.5413327217102051,0.259033202153592,0.019054311882994175,0.003672451040039865,0.2571109421873894,-0.032912459858761456,-0.01288460115596965
0.5496399402618408,0.2590280718209855,0.019176279772823258,0.0031264830691065883,0.25699815468111026,-0.033292486625880684,-0.013559049532264538
0.556715726852417,0.2590289181380873,0.01919814421567518,0.0027836927043502213,0.25691114739491167,-0.033581595096459374,-0.014064314194709694
