time,roll,pitch,com_z
0.001104593276977539,0.0008675437898528204,-0.0008675437898528204,-0.06495662281050736
0.008887529373168945,0.006979342335983046,-0.006979342335983046,-0.06465103288320084
0.01602935791015625,0.012584108017391488,-0.012584108017391488,-0.06437079459913042
0.023434162139892578,0.018388526452908782,-0.018388526452908782,-0.06408057367735456
0.03096461296081543,0.02428121211430323,-0.02428121211430323,-0.06378593939428484
0.0381312370300293,0.029876627198976713,-0.029876627198976713,-0.06350616864005117
0.04563188552856445,0.035716568912191396,-0.035716568912191396,-0.06321417155439044
0.05567431449890137,0.04350389742185781,-0.04350389742185781,-0.06282480512890712
0.06332230567932129,0.0494058448392351,-0.0494058448392351,-0.06252970775803825
0.07599210739135742,0.059118726247782416,-0.059118726247782416,-0.06204406368761089
0.08319568634033203,0.06460033121400227,-0.06460033121400227,-0.061769983439299896
0.0908055305480957,0.07035509405101892,-0.07035509405101892,-0.061482245297449056
0.09816956520080566,0.07588572081778322,-0.07588572081778322,-0.06120571395911084
0.10605812072753906,0.08176514620792011,-0.08176514620792011,-0.060911742689604
0.11541318893432617,0.08867220467653071,-0.08867220467653071,-0.06056638976617346
0.1232750415802002,0.09441780669545305,-0.09441780669545305,-0.06027910966522735
0.13066768646240234,0.09976802414835492,-0.09976802414835492,-0.060011598792582256
0.13765430450439453,0.10477498038424439,-0.10477498038424439,-0.05976125098078778
0.1450939178466797,0.11005102879775235,-0.11005102879775235,-0.05949744856011238
0.15284109115600586,0.11548125871277085,-0.11548125871277085,-0.05922593706436146
0.16051888465881348,0.12079538053498602,-0.12079538053498602,-0.058960230973250705
0.16791844367980957,0.12585045836727024,-0.12585045836727024,-0.05870747708163649
0.17499470710754395,0.13062109671187982,-0.13062109671187982,-0.05846894516440601
0.18250560760498047,0.1356140840869946,-0.1356140840869946,-0.05821929579565027
0.18961095809936523,0.14026802279039985,-0.14026802279039985,-0.057986598860480014
0.19928717613220215,0.14649301637507056,-0.14649301637507056,-0.05767534918124648
0.2068016529083252,0.1512342115879721,-0.1512342115879721,-0.0574382894206014
0.21678376197814941,0.1574015584649234,-0.1574015584649234,-0.05712992207675383
0.2267296314239502,0.16339258302721954,-0.16339258302721954,-0.05683037084863902
0.23479413986206055,0.1681335080355894,-0.1681335080355894,-0.05659332459822053
0.2433609962463379,0.17305147406633886,-0.17305147406633886,-0.05634742629668305
0.25163984298706055,0.17768504923211262,-0.17768504923211262,-0.05611574753839437
0.26062703132629395,0.18257892145106142,-0.18257892145106142,-0.05587105392744693
0.2685062885284424,0.18674988203438858,-0.18674988203438858,-0.05566250589828057
0.2769958972930908,0.19111580558684416,-0.19111580558684416,-0.0554442097206578
