time,L1_J1,L1_J2,L1_J3,L4_J1,L4_J2,L4_J3
0.0013134479522705078,0.3885277201231091,-4.527674875945739,-2.945576681809623,-4.181634425764934,-7.0,-5.546957765823106
0.008742332458496094,0.38301886052384365,-4.474095144210723,-2.9108127726191206,-4.193311987588405,-7.0,-5.545370542815325
0.015824556350708008,0.40542580002387424,-4.051740928918451,-2.6392882522852155,-3.9923830633621638,-7.0,-5.155492230656562
0.023581743240356445,0.37377069901940363,-3.7826538530618947,-2.4652775132798936,-3.813175647255182,-7.0,-4.866555899296608
0.030359745025634766,0.34671370948362157,-3.5365183254167554,-2.3058291453458266,-3.6066253248052913,-7.0,-4.897233840418338
0.037450313568115234,0.3337058080129381,-3.6015194079618125,-2.3464227485231595,-3.60206758931714,-7.0,-4.8057353645567575
0.04430103302001953,0.27767802028906835,-3.3924982818795284,-2.210918041878953,-3.5739518473121668,-7.0,-4.751289101547153
0.051990509033203125,0.2515976262107529,-3.422768948875247,-2.2290713613682223,-3.590156238071156,-7.0,-4.722859607679962
0.0590362548828125,0.22731189922383002,-3.289050271198657,-2.1418733602875117,-3.6077045742021134,-7.0,-4.673966067835847
0.06582379341125488,0.22042557077569616,-3.1423328605599825,-2.0467030587667585,-3.5550705899414314,-7.0,-4.671566526297577
0.07281947135925293,0.21339659835631827,-3.06908599952874,-1.9985710856447594,-3.481605344288718,-7.0,-4.633515630381735
0.07943606376647949,0.20374479887780814,-2.9819151238745016,-1.9415541241804444,-3.4943080726512554,-7.0,-4.619655820312596
0.0864260196685791,0.19525785968447895,-2.9108894422873104,-1.895004981699347,-3.4291521782605674,-7.0,-4.609800462302718
0.09318184852600098,0.16721930385266653,-2.816730298759526,-1.8335872776257913,-3.3217923811907117,-7.0,-4.666280699854996
0.10029006004333496,0.14249367668746102,-2.765871470655516,-1.7998243500546975,-3.3201837439445083,-7.0,-4.515025953887054
0.10755276679992676,0.1289579002610428,-2.6701485583894637,-1.7373530654210378,-3.304985653049158,-7.0,-4.520087910942542
0.11425375938415527,0.11781794015131651,-2.646176999627017,-1.7209426871229185,-3.291356152466921,-6.912321726316428,-4.385059029119425
0.12139678001403809,0.10495188613954445,-2.656570750919557,-1.726598362247674,-3.27719401191816,-6.907380213301172,-4.382833512480266
0.12787556648254395,0.09286533225815669,-2.4662033958817067,-1.6037087870408688,-3.24834868151252,-7.0,-4.546779841981954
0.13467812538146973,0.08285144309529935,-2.362553545088042,-1.5364352724986832,-3.240729972848362,-7.0,-4.444763095617776
0.1415567398071289,0.0741778421799196,-2.340694228226924,-1.5215758797510373,-3.2393604814132564,-7.0,-4.527681666605209
0.14897894859313965,0.06344842783100056,-2.236841367977252,-1.4540261909007481,-3.222718434042167,-6.957375030602658,-4.419540810559695
0.1558833122253418,0.0565300030532697,-2.191796221490657,-1.424358005261535,-3.2061028422842104,-6.987377055393636,-4.439827782562356
0.16283488273620605,0.0473767757518022,-2.059544054149685,-1.3387823149723168,-3.2167302880142192,-6.945236245900438,-4.41454570505959
0.16956329345703125,0.037602858185677,-2.035415341671453,-1.3225309865636088,-3.18722747630651,-6.8985257662528605,-4.386083854962923
0.17675542831420898,0.028742924320586068,-1.9663379814398054,-1.2775127442985479,-3.1957555562099675,-6.655048243701389,-4.232611024458028
0.1838696002960205,0.013609339980995578,-1.9285047500202999,-1.2523807783137404,-3.1758072709955076,-6.52959188889918,-4.154421822381009
0.19066333770751953,-0.00031558495822160346,-1.8831687736370435,-1.2224984199122506,-3.156824213119704,-6.429071827052384,-4.0921245628208105
0.19957494735717773,-0.014551157958323367,-1.7867848936649564,-1.1598249489459278,-3.1400107973585434,-6.491290892151139,-4.133913496819617
0.2062230110168457,-0.020849827090630678,-1.6871021703075708,-1.0954536117499065,-3.1269318986767285,-6.739442690192668,-4.2933567603387175
0.21289563179016113,-0.0369060627668509,-1.6408237030410011,-1.0651171601185634,-3.108784765591069,-6.3272543863125765,-4.033114625765054
0.21937012672424316,-0.044691565999800946,-1.572878655949255,-1.0210715731178652,-3.100283351049991,-6.641954013626505,-4.235006698478063
0.2260298728942871,-0.051803640863192696,-1.53460956954805,-0.9959008512273197,-3.093401450825197,-6.661483789519586,-4.249396532919319
0.2333240509033203,-0.05730193192735997,-1.4974885093249923,-0.9714902929098375,-3.078600113962021,-6.282838259017049,-4.010648265877684
0.24047422409057617,-0.06035767780698999,-1.410968814024279,-0.915597788313836,-3.0415904170141417,-6.381868154548233,-4.075627772769544
0.24783730506896973,-0.08153874052587184,-1.3954899917241725,-0.9051677674001771,-3.0579016748525927,-6.146183367307235,-3.927598172201866
0.25429821014404297,-0.08747456844036675,-1.3244667002045434,-0.8592400201288941,-3.0140495264464846,-6.431466172783123,-4.111281436070849
0.2610757350921631,-0.08775377342468965,-1.3031546236376932,-0.8451909226498754,-3.000788736725746,-6.209327823251905,-3.9722442169227534
0.26818394660949707,-0.08930711965127897,-1.230234389243146,-0.798236488501942,-2.9846921319590383,-6.33227194012421,-4.0530456904362016
0.2751491069793701,-0.0978346004839687,-1.181909190570893,-0.7670234971980722,-2.9634108736253486,-6.354737034488137,-4.069659506212508
0.28211236000061035,-0.1042855148950677,-1.1183449408187691,-0.7260994706695808,-2.9607582663238956,-6.327687115383631,-4.054798286839151
0.28861379623413086,-0.11435075081705538,-1.1019618937492524,-0.7152418325114864,-2.9244280737084956,-6.230181640656907,-3.9956342813000374
0.29581260681152344,-0.1190426136440873,-1.0703818556754183,-0.6947387234200547,-2.939662787571388,-5.991150996144572,-3.8463901440582413
0.30286073684692383,-0.13649601717705173,-1.0626136018568957,-0.6894489633386137,-2.9108646034575076,-5.9753528559098505,-3.839257159765969
0.30971288681030273,-0.14113177670499188,-1.008949258768138,-0.6549788531517352,-2.9073928275845136,-6.002799968907107,-3.8592753448014516
0.3163266181945801,-0.1585485157203555,-0.986851513265519,-0.6406106556851998,-2.883485265203584,-5.926638114460411,-3.813716759240476
0.3227512836456299,-0.1654240980742782,-0.9448138849213799,-0.613554675710067,-2.8822576867624905,-5.850373227621024,-3.768318645207554
0.3293907642364502,-0.16729638491332036,-0.8967010408735835,-0.5826993530390712,-2.8773470945901813,-5.880490936972285,-3.7900723164298538
0.3362555503845215,-0.17247602288129033,-0.852268382951858,-0.554197397759697,-2.8456903533775684,-5.8580084004577495,-3.778727227842417
0.3437681198120117,-0.19294506513387466,-0.859780445089006,-0.5587829230180934,-2.8305497281757734,-5.668047761612932,-3.660888678966699
0.35045313835144043,-0.20149756342416575,-0.8375537384102261,-0.5444404614474596,-2.8215816428942575,-5.649772161671438,-3.652560846913886
0.35721659660339355,-0.21387980200061416,-0.8130848253352485,-0.5286719783410236,-2.8320172277176967,-5.538651784963896,-3.585042290708762
0.3639795780181885,-0.21831615561883122,-0.7517927455814765,-0.4894925905756605,-2.8198676548287827,-5.54098893777918,-3.589045019540048
0.3708071708679199,-0.24189160909315027,-0.7674559302781151,-0.49930209737502446,-2.7823880106333236,-5.488881448101051,-3.5595891942696456
0.3775746822357178,-0.24539122712394917,-0.7240958868656973,-0.47151361417038745,-2.7757750887359367,-5.4695176086421515,-3.550666562093195
0.3843190670013428,-0.25121049242820415,-0.6720816901886498,-0.43825688475428826,-2.758796579962392,-5.511890664338093,-3.580627233171078
0.39103007316589355,-0.25884304000387387,-0.6690245737346235,-0.4361753367184979,-2.7653193731460957,-5.362671469390057,-3.4894605115733155
0.39751243591308594,-0.2656061630186439,-0.6297077877619511,-0.41103725185689094,-2.7592829864084356,-5.5301899901625085,-3.5991851339061878
