diff_x,diff_y,diff_z,cur_2,cur_3
2.7172048091888428,2.44748592376709,10.822521209716797,-258.239990234375,-29.59000015258789
2.840033531188965,2.267176389694214,10.605973243713379,-271.69000244140625,-29.59000015258789
0.34402287006378174,0.2444034069776535,3.6003100872039795,-102.22000122070312,-13.449999809265137
1.4883326292037964,0.4668293297290802,7.35980749130249,-185.61000061035156,-40.349998474121094
0.9711224436759949,0.7777613401412964,7.222160816192627,-193.67999267578125,-40.349998474121094
0.9302840828895569,0.8447446823120117,7.428708076477051,-199.05999755859375,-43.040000915527344
1.1294655799865723,0.8953749537467957,7.212383270263672,-201.75,-45.72999954223633
0.4564988613128662,0.29769739508628845,6.6832966804504395,-193.67999267578125,-16.139999389648438
1.0182852745056152,1.1003824472427368,5.728126049041748,-196.3699951171875,-29.59000015258789
0.950944185256958,1.14920175075531,6.746755599975586,-204.44000244140625,-29.59000015258789
0.7557585835456848,0.6621250510215759,5.234529495239258,-150.63999938964844,-29.59000015258789
0.8575755953788757,0.7848934531211853,7.441261291503906,-225.9600067138672,-24.209999084472656
1.221435785293579,1.0149558782577515,9.0606050491333,-231.33999633789062,-37.65999984741211
1.2007640600204468,1.457423210144043,11.168240547180176,-228.64999389648438,-48.41999816894531
0.8765355944633484,1.189347267150879,9.952834129333496,-223.27000427246094,-48.41999816894531
0.6476314067840576,0.45522797107696533,9.925895690917969,-244.7899932861328,-24.209999084472656
0.6182294487953186,0.97682785987854,8.89173698425293,-220.5800018310547,-32.279998779296875
0.3348616063594818,1.1786185503005981,7.839188098907471,-207.1300048828125,-45.72999954223633
0.10287730395793915,0.6116595268249512,5.592100620269775,-145.25999450683594,-21.520000457763672
0.37191465497016907,0.8862824440002441,7.272396564483643,-209.82000732421875,-61.869998931884766
0.09850917756557465,1.3483502864837646,8.054824829101562,-217.88999938964844,-32.279998779296875
0.5371273159980774,1.308430552482605,6.159795761108398,-190.99000549316406,-45.72999954223633
0.46150872111320496,1.1621043682098389,5.855357646942139,-190.99000549316406,-37.65999984741211
0.3895643353462219,1.4119657278060913,5.79960298538208,-207.1300048828125,-161.39999389648438
0.8397325277328491,1.5241926908493042,4.971282482147217,-174.85000610351562,-34.970001220703125
1.2613884210586548,1.7478718757629395,5.7715067863464355,-199.05999755859375,-34.970001220703125
0.7312431335449219,1.8513284921646118,6.737427234649658,-228.64999389648438,-34.970001220703125
0.1442951112985611,1.8995742797851562,8.70009994506836,-223.27000427246094,-53.79999923706055
0.6729864478111267,1.0339022874832153,5.053629398345947,-161.39999389648438,-29.59000015258789
1.0539129972457886,1.929398536682129,7.224121570587158,-231.33999633789062,-34.970001220703125
0.7735833525657654,2.3554890155792236,7.37849760055542,-239.41000366210938,-34.970001220703125
0.5165989398956299,1.7884948253631592,7.135776996612549,-209.82000732421875,-37.65999984741211
0.728422224521637,2.35736083984375,9.016091346740723,-239.41000366210938,-45.72999954223633
0.5404670834541321,2.053189754486084,9.414438247680664,-223.27000427246094,-53.79999923706055
0.4351409077644348,1.7092982530593872,9.632994651794434,-239.41000366210938,-37.65999984741211
0.8049115538597107,1.6188730001449585,8.22294807434082,-217.88999938964844,-45.72999954223633
0.8194734454154968,1.4995125532150269,9.488572120666504,-231.33999633789062,-48.41999816894531
0.8253913521766663,1.7270538806915283,9.624427795410156,-244.7899932861328,-43.040000915527344
1.7571728229522705,3.5451769828796387,8.38629150390625,-215.1999969482422,-26.899999618530273
1.662825584411621,4.052638053894043,9.71481990814209,-258.239990234375,-21.520000457763672
1.551293969154358,2.370972156524658,4.985395431518555,-177.5399932861328,-2.690000057220459
1.7585923671722412,2.9666223526000977,6.103758335113525,-212.50999450683594,0.0
2.141174554824829,3.4220218658447266,7.43850564956665,-258.239990234375,8.069999694824219
1.3066726922988892,2.077526092529297,3.952608108520508,-196.3699951171875,32.279998779296875
1.2800754308700562,1.7243051528930664,2.5173723697662354,-166.77999877929688,21.520000457763672
2.9064199924468994,3.1366145610809326,5.113487720489502,-223.27000427246094,-26.899999618530273
2.9420135021209717,3.178908586502075,6.615914821624756,-234.02999877929688,-40.349998474121094
3.1127898693084717,3.377936840057373,7.081759929656982,-231.33999633789062,-51.11000061035156
3.091493844985962,3.356599807739258,6.943110466003418,-228.64999389648438,-53.79999923706055
2.2765753269195557,3.0040924549102783,7.001723766326904,-204.44000244140625,-75.31999969482422
2.2019102573394775,3.235785722732544,7.907150745391846,-201.75,-45.72999954223633
2.2161056995391846,3.433467149734497,8.633707046508789,-220.5800018310547,-45.72999954223633
1.6514382362365723,3.6033260822296143,10.60033893585205,-220.5800018310547,-40.349998474121094
1.9101226329803467,3.3488268852233887,10.649266242980957,-250.1699981689453,-32.279998779296875
